         307640 function calls (307545 primitive calls) in 1.950 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/_policybase.py:301(header_source_parse)
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:260(get)
       23    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       23    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:306(_qsize)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:303(__enter__)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:306(__exit__)
       22    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       22    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:318(_is_owned)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:398(notify)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       21    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       21    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:175(append)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       20    0.000    0.000    0.000    0.000 <frozen _collections_abc>:897(__iter__)
       18    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/requests/structures.py:51(__getitem__)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1294(_is_dunder)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1368(__setattr__)
       17    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:1873(_all_strings)
       16    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:1152(__new__)
       14    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/util/util.py:19(to_str)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.13/urllib/parse.py:108(_noop)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.13/urllib/parse.py:119(_coerce_args)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:163(__len__)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:695(__call__)
       13    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
       13    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       12    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/util/timeout.py:130(_validate_timeout)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:180(get)
       11    0.001    0.000    0.358    0.033 {method 'join' of 'bytes' objects}
       11    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:140(put)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:312(_get)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:309(_put)
